	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d	G:\sever_koa\0017589734-cila\cila_motion.c3d
	LHS	LOFF	LON	LTO	RHS	ROFF	RON	RTO	L_FCC	L_FCC	L_FCC	L_FM1	L_FM1	L_FM1	L_FM2	L_FM2	L_FM2	L_FM5	L_FM5	L_FM5	L_IAS	L_IAS	L_IAS	L_IPS	L_IPS	L_IPS	L_SK1	L_SK1	L_SK1	L_SK2	L_SK2	L_SK2	L_SK3	L_SK3	L_SK3	L_SK4	L_SK4	L_SK4	L_TH1	L_TH1	L_TH1	L_TH2	L_TH2	L_TH2	L_TH3	L_TH3	L_TH3	L_TH4	L_TH4	L_TH4	R_FCC	R_FCC	R_FCC	R_FM1	R_FM1	R_FM1	R_FM2	R_FM2	R_FM2	R_FM5	R_FM5	R_FM5	R_IAS	R_IAS	R_IAS	R_IPS	R_IPS	R_IPS	R_SK1	R_SK1	R_SK1	R_SK2	R_SK2	R_SK2	R_SK3	R_SK3	R_SK3	R_SK4	R_SK4	R_SK4	R_TH1	R_TH1	R_TH1	R_TH2	R_TH2	R_TH2	R_TH3	R_TH3	R_TH3	R_TH4	R_TH4	R_TH4	FP1	FP1	FP1	FP2	FP2	FP2	COG	COG	COG	LAnkle_ANGLE	LAnkle_ANGLE	LAnkle_ANGLE	LANKLE_MOMENT	LANKLE_MOMENT	LANKLE_MOMENT	LANKLE_POWER	LANKLE_POWER	LANKLE_POWER	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_MOMENT	LHIP_MOMENT	LHIP_MOMENT	LHIP_POWER	LHIP_POWER	LHIP_POWER	LKNEE_ANGLE	LKNEE_ANGLE	LKNEE_ANGLE	LKNEE_MOMENT	LKNEE_MOMENT	LKNEE_MOMENT	LKNEE_POWER	LKNEE_POWER	LKNEE_POWER	RAnkle_ANGLE	RAnkle_ANGLE	RAnkle_ANGLE	RANKLE_MOMENT	RANKLE_MOMENT	RANKLE_MOMENT	RANKLE_POWER	RANKLE_POWER	RANKLE_POWER	RHIP_ANGLE	RHIP_ANGLE	RHIP_ANGLE	RHIP_MOMENT	RHIP_MOMENT	RHIP_MOMENT	RHIP_POWER	RHIP_POWER	RHIP_POWER	RKNEE_ANGLE	RKNEE_ANGLE	RKNEE_ANGLE	RKNEE_MOMENT	RKNEE_MOMENT	RKNEE_MOMENT	RKNEE_POWER	RKNEE_POWER	RKNEE_POWER	HEIGHT	MASS
	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	METRIC	METRIC
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	PROCESSED	PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	X
1	0.106897	0.920690	0.106897	0.920690	0.762069	1.600000	0.762069	0.306897	-0.090461	0.030977	0.049137	0.084311	0.065139	0.048871	0.050635	0.097866	0.058610	0.020571	0.143688	0.024647	-0.145288	0.121412	0.863474	-0.316674	-0.012125	0.929220	-0.080595	0.152947	0.336441	-0.145902	0.138499	0.325696	-0.129248	0.117411	0.219268	-0.076629	0.138741	0.235006	-0.127930	0.162324	0.659079	-0.194973	0.160915	0.641201	-0.163219	0.152571	0.523722	-0.096006	0.151059	0.537189	-0.356970	-0.061304	0.047633	-0.178938	-0.077074	0.006641	-0.208905	-0.116962	0.026976	-0.243142	-0.173216	-0.007197	-0.095350	-0.173682	0.821152	-0.298747	-0.106604	0.909312	-0.292654	-0.184469	0.293749	-0.229232	-0.186725	0.274778	-0.262479	-0.156541	0.172865	-0.322945	-0.155109	0.194611	-0.201877	-0.219305	0.641803	-0.135049	-0.202882	0.634510	-0.154773	-0.196458	0.510617	-0.218262	-0.211504	0.520305	-0.001942	0.001502	0.034244	-0.000000	0.000000	0.000000	-0.164009	-0.024313	0.567629	-1.274603	-0.759676	-1.414232							37.205051	-9.097974	-9.975271							-8.570416	-2.828733	16.132750							-5.137784	-1.645348	2.046350							13.842435	-9.742566	-7.283695							-5.430277	10.384736	-15.371974							1.700000	72.000000
2	1.382759			2.262069	2.075862			1.600000	-0.086178	0.031385	0.048730	0.088698	0.065174	0.049609	0.055067	0.098040	0.059152	0.025239	0.143913	0.025127	-0.143292	0.121507	0.863150	-0.314712	-0.011952	0.928936	-0.077887	0.152806	0.336385	-0.143162	0.138493	0.325188	-0.125900	0.117630	0.218897	-0.073209	0.138678	0.234853	-0.126102	0.162209	0.658752	-0.193160	0.160778	0.640842	-0.161404	0.152313	0.523355	-0.094161	0.150767	0.536786	-0.356111	-0.061308	0.047643	-0.178180	-0.077014	0.006640	-0.208077	-0.116939	0.026963	-0.242297	-0.173202	-0.007206	-0.093447	-0.173647	0.821014	-0.296838	-0.106424	0.909086	-0.291468	-0.184453	0.293659	-0.228066	-0.186712	0.274500	-0.261729	-0.156600	0.172672	-0.321876	-0.155117	0.194620	-0.200096	-0.219301	0.641652	-0.133312	-0.202836	0.634279	-0.153226	-0.196402	0.510400	-0.216682	-0.211491	0.520194	-0.004059	0.002785	0.061059	-0.000000	0.000000	0.000000	-0.162100	-0.024338	0.567439	-1.266397	-0.752563	-1.354886							37.187603	-9.125278	-9.967586							-8.205871	-2.675993	15.971884							-5.110678	-1.806229	2.111745							13.754108	-9.686994	-7.229375							-5.511794	10.363061	-15.442168								
3									-0.081829	0.031794	0.048303	0.093154	0.065192	0.050358	0.059575	0.098206	0.059707	0.029989	0.144131	0.025616	-0.141291	0.121607	0.862807	-0.312750	-0.011770	0.928636	-0.075154	0.152652	0.336322	-0.140395	0.138482	0.324659	-0.122509	0.117858	0.218515	-0.069726	0.138578	0.234671	-0.124270	0.162087	0.658414	-0.191344	0.160639	0.640465	-0.159585	0.152048	0.522969	-0.092317	0.150467	0.536369	-0.355318	-0.061314	0.047655	-0.177483	-0.076956	0.006637	-0.207314	-0.116915	0.026948	-0.241518	-0.173189	-0.007215	-0.091547	-0.173610	0.820866	-0.294932	-0.106233	0.908846	-0.290324	-0.184437	0.293569	-0.226944	-0.186699	0.274214	-0.261031	-0.156655	0.172471	-0.320859	-0.155125	0.194628	-0.198326	-0.219300	0.641493	-0.131590	-0.202789	0.634034	-0.151704	-0.196344	0.510169	-0.215126	-0.211481	0.520076	-0.006860	0.004438	0.095255	-0.000000	0.000000	0.000000	-0.160198	-0.024366	0.567237	-1.250656	-0.745807	-1.278378	0.007395	-0.001511	-0.001221	-0.000778	-0.000128	-0.000519	37.170692	-9.152120	-9.961560	-0.063980	-0.200261	-0.027579	0.009542	-0.012613	0.000032	-7.829431	-2.524603	15.789604	-0.027599	-0.068019	-0.007353	-0.023047	0.133673	0.006906	-5.084200	-1.970880	2.175961	0.005176	0.000481	0.000091	0.004083	0.000135	0.000032	13.660489	-9.628711	-7.170075	0.002866	0.247743	0.006548	0.000695	0.136064	0.002256	-5.592654	10.342250	-15.514430	0.016005	0.082402	0.007721	-0.003443	0.036390	-0.002704		
4									-0.077421	0.032203	0.047857	0.097672	0.065190	0.051115	0.064150	0.098359	0.060274	0.034814	0.144337	0.026113	-0.139283	0.121712	0.862443	-0.310788	-0.011576	0.928317	-0.072398	0.152482	0.336249	-0.137603	0.138467	0.324108	-0.119080	0.118096	0.218121	-0.066183	0.138438	0.234459	-0.122432	0.161957	0.658066	-0.189522	0.160498	0.640068	-0.157759	0.151775	0.522563	-0.090472	0.150157	0.535939	-0.354590	-0.061320	0.047671	-0.176849	-0.076898	0.006633	-0.206618	-0.116891	0.026932	-0.240806	-0.173177	-0.007224	-0.089650	-0.173571	0.820708	-0.293027	-0.106032	0.908591	-0.289223	-0.184423	0.293478	-0.225869	-0.186685	0.273922	-0.260383	-0.156707	0.172265	-0.319894	-0.155134	0.194637	-0.196568	-0.219302	0.641325	-0.129880	-0.202739	0.633773	-0.150207	-0.196284	0.509925	-0.213593	-0.211472	0.519951	-0.010367	0.006457	0.136527	-0.000000	0.000000	0.000000	-0.158304	-0.024399	0.567024	-1.226137	-0.738949	-1.183356	0.007066	-0.001495	-0.001364	-0.000832	-0.000187	-0.000712	37.154381	-9.178092	-9.957781	-0.070256	-0.184090	-0.029727	0.009808	-0.011208	0.000363	-7.441991	-2.375898	15.584610	-0.030901	-0.059991	-0.008617	-0.025927	0.120982	0.009055	-5.058554	-2.138085	2.238052	0.005181	0.000488	0.000075	0.004143	0.000138	0.000025	13.561360	-9.567624	-7.105238	0.003365	0.249005	0.006683	0.000860	0.144598	0.002504	-5.671324	10.322513	-15.588331	0.016332	0.082499	0.007695	-0.003452	0.035351	-0.002749		
5									-0.072962	0.032608	0.047394	0.102243	0.065165	0.051874	0.068779	0.098491	0.060846	0.039702	0.144531	0.026614	-0.137266	0.121821	0.862057	-0.308825	-0.011371	0.927980	-0.069619	0.152296	0.336165	-0.134788	0.138446	0.323537	-0.115615	0.118342	0.217716	-0.062581	0.138253	0.234214	-0.120587	0.161819	0.657707	-0.187691	0.160355	0.639652	-0.155924	0.151498	0.522137	-0.088624	0.149840	0.535497	-0.353930	-0.061327	0.047690	-0.176280	-0.076842	0.006629	-0.205988	-0.116868	0.026914	-0.240161	-0.173165	-0.007235	-0.087756	-0.173531	0.820538	-0.291124	-0.105821	0.908321	-0.288165	-0.184411	0.293386	-0.224838	-0.186671	0.273627	-0.259781	-0.156754	0.172054	-0.318981	-0.155144	0.194645	-0.194821	-0.219306	0.641148	-0.128183	-0.202687	0.633496	-0.148735	-0.196221	0.509668	-0.212084	-0.211465	0.519818	-0.014520	0.008781	0.183440	-0.000000	0.000000	0.000000	-0.156418	-0.024436	0.566799	-1.192016	-0.731503	-1.068961	0.006690	-0.001467	-0.001485	-0.000888	-0.000249	-0.000924	37.138813	-9.202680	-9.956738	-0.074542	-0.165392	-0.031153	0.009455	-0.009679	0.000772	-7.045057	-2.231235	15.356236	-0.033563	-0.050239	-0.009706	-0.028134	0.103432	0.011302	-5.033847	-2.306736	2.297083	0.005211	0.000498	0.000067	0.004195	0.000140	0.000021	13.456639	-9.503677	-7.034482	0.003536	0.246326	0.006732	0.000950	0.150863	0.002736	-5.746562	10.303978	-15.663424	0.016493	0.081447	0.007538	-0.003403	0.033364	-0.002731		
6									-0.068466	0.033007	0.046916	0.106852	0.065115	0.052629	0.073449	0.098598	0.061419	0.044641	0.144709	0.027115	-0.135238	0.121936	0.861651	-0.306859	-0.011154	0.927625	-0.066820	0.152093	0.336069	-0.131953	0.138420	0.322947	-0.112123	0.118595	0.217302	-0.058926	0.138021	0.233933	-0.118731	0.161672	0.657339	-0.185848	0.160212	0.639217	-0.154077	0.151216	0.521691	-0.086772	0.149517	0.535044	-0.353335	-0.061335	0.047714	-0.175775	-0.076788	0.006624	-0.205424	-0.116845	0.026894	-0.239584	-0.173155	-0.007245	-0.085865	-0.173489	0.820357	-0.289221	-0.105597	0.908036	-0.287148	-0.184400	0.293294	-0.223851	-0.186656	0.273330	-0.259224	-0.156795	0.171839	-0.318120	-0.155155	0.194654	-0.193084	-0.219313	0.640964	-0.126497	-0.202632	0.633203	-0.147286	-0.196155	0.509396	-0.210597	-0.211461	0.519679	-0.019135	0.011276	0.232972	-0.000000	0.000000	0.000000	-0.154540	-0.024477	0.566561	-1.147865	-0.722935	-0.934879	0.006281	-0.001430	-0.001583	-0.000942	-0.000308	-0.001142	37.124111	-9.225369	-9.958829	-0.076721	-0.145430	-0.031817	0.008488	-0.008141	0.001219	-6.640665	-2.091995	15.104505	-0.035527	-0.039267	-0.010576	-0.029567	0.082039	0.013502	-5.010178	-2.475856	2.352619	0.005259	0.000510	0.000067	0.004238	0.000143	0.000020	13.346326	-9.436962	-6.957477	0.003505	0.240787	0.006694	0.000988	0.155074	0.002940	-5.817411	10.286730	-15.739386	0.016563	0.079604	0.007281	-0.003317	0.030763	-0.002661		
